City,Country,Date,Lat,Lng,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
Ushuaia,AR,1683487511,-54.8,-68.3,75,66,51.46,5.75
Port Alfred,ZA,1683487512,-33.5906,26.891,100,94,61.18,7.78
San Juan de Miraflores,PE,1683487513,-12.1629,-76.9635,84,76,75.72,8.63
Qaqortoq,GL,1683487513,60.7167,-46.0333,100,73,37.04,6.11
Waitangi,NZ,1683487392,-43.9535,-176.5597,100,95,57.81,3.0
Albany,US,1683487513,42.6001,-73.9662,52,32,76.46,1.01
Talnakh,RU,1683487513,69.4865,88.3972,91,89,-0.65,4.09
Bo`ka,UZ,1683487514,40.8108,69.1986,6,56,58.62,6.13
Adamstown,PN,1683487482,-25.066,-130.1015,100,66,71.56,21.94
Port-aux-Français,TF,1683487483,-49.35,70.2167,87,65,39.45,30.65
Grytviken,GS,1683487514,-54.2811,-36.5092,68,90,34.99,30.6
Mount Pearl,CA,1683487514,47.5166,-52.7813,75,55,51.46,21.85
Puerto Ayora,EC,1683487515,-0.7393,-90.3518,62,94,85.96,7.0
Rio Novo,BR,1683487516,-21.4575,-43.1253,87,74,74.37,2.8
Iqaluit,CA,1683487516,63.7506,-68.5145,20,73,26.33,15.01
Bredasdorp,ZA,1683487516,-34.5322,20.0403,9,88,56.79,5.75
Coquimbo,CL,1683487517,-29.9533,-71.3436,0,63,64.13,14.97
Al Ghayzah,YE,1683487517,16.2079,52.176,0,67,82.71,7.56
Bonthe,SL,1683487517,7.5264,-12.505,99,73,84.27,8.95
Bilibino,RU,1683487487,68.0546,166.4372,100,96,17.67,2.17
Puerto Natales,CL,1683487517,-51.7236,-72.4875,75,47,55.85,13.8
Edinburgh of the Seven Seas,SH,1683487486,-37.0676,-12.3116,12,65,58.69,7.16
East London,ZA,1683487518,-33.0153,27.9116,100,72,66.04,6.6
Kingston,JM,1683487464,17.997,-76.7936,75,83,85.21,13.8
Adrar,MR,1683487518,20.5022,-10.0711,100,12,90.82,9.62
Ténenkou,ML,1683487518,14.4572,-4.9169,100,23,97.68,5.19
Unhel,IN,1683487518,23.3333,75.5667,19,30,86.95,5.23
Ribeira Grande,PT,1683487519,38.5167,-28.7,75,94,65.77,25.99
Olonkinbyen,SJ,1683487511,70.9221,-8.7187,100,99,34.09,14.23
Udachny,RU,1683487519,66.4167,112.4,81,66,10.45,4.59
Ust-Nera,RU,1683487519,64.5667,143.2,100,85,31.75,5.35
Port Elizabeth,ZA,1683487520,-33.918,25.5701,75,77,64.69,4.61
Yellowknife,CA,1683487520,62.456,-114.3525,40,34,63.12,16.11
Koné,NC,1683487520,-21.0595,164.8658,75,89,69.62,1.48
Armação de Búzios,BR,1683487520,-22.7469,-41.8817,58,77,82.45,10.83
Newman,US,1683487521,37.3138,-121.0208,100,55,71.24,5.99
Isafjordur,IS,1683487521,66.0755,-23.124,84,82,46.38,5.12
Ta`ū,AS,1683487521,-14.2336,-169.5144,10,76,81.7,10.6
Margaret River,AU,1683487521,-33.95,115.0667,63,54,63.5,16.33
San Blas,MX,1683487521,21.5167,-105.2667,40,47,107.49,8.23
Avarua,CK,1683487481,-21.2078,-159.775,100,89,78.85,5.75
Saint Paul Harbor,US,1683487522,57.79,-152.4072,100,81,38.71,12.66
Keflavik,IS,1683487374,64.0049,-22.5624,100,93,53.51,13.8
Utrik,MH,1683487498,11.2278,169.8474,99,80,81.0,18.19
Karratha,AU,1683487522,-20.7377,116.8463,96,45,76.87,9.55
Anadyr,RU,1683487523,64.75,177.4833,100,100,28.9,13.42
West Island,CC,1683487491,-12.1568,96.8225,11,94,80.58,4.61
College,US,1683487523,64.8569,-147.8028,40,57,46.72,4.61
Papatowai,NZ,1683487523,-46.5619,169.4708,100,82,52.39,3.78
Polyarny,RU,1683487523,69.1989,33.4478,97,88,34.43,11.21
Petropavlovsk-Kamchatskiy,RU,1683487523,53.0452,158.6483,75,80,32.59,2.24
Lompoc,US,1683487524,34.6391,-120.4579,0,71,73.69,12.66
Wewak,PG,1683487524,-3.5534,143.6268,98,86,79.65,4.54
Whitehorse,CA,1683487505,60.7161,-135.0538,75,38,54.1,4.61
Port Mathurin,MU,1683487524,-19.6833,63.4167,3,72,78.8,22.48
Flying Fish Cove,CX,1683487440,-10.4217,105.6791,100,89,80.28,6.91
Bethel,US,1683487440,41.3712,-73.414,0,33,77.29,5.75
Mont-roig,ES,1683487525,41.75,1.1833,100,84,69.37,9.4
Jamestown,US,1683487500,42.097,-79.2353,100,65,64.42,6.91
Pindushi,RU,1683487525,62.9152,34.58,1,70,35.71,2.26
Santana,BR,1683487525,-0.0583,-51.1817,20,55,91.58,12.66
Chonchi,CL,1683487526,-42.6128,-73.8092,23,61,57.11,1.9
Neiafu,TO,1683487526,-18.65,-173.9833,20,94,77.68,0.0
Al-Fashir,SD,1683487526,13.6279,25.3494,3,10,89.78,11.52
Vadsø,NO,1683487526,70.0744,29.7487,75,81,40.08,6.91
Ilulissat,GL,1683487501,69.2167,-51.1,75,86,32.02,3.44
Wailua Homesteads,US,1683487483,22.0669,-159.378,75,70,77.43,18.41
Thompson,CA,1683487481,55.7435,-97.8558,20,32,64.56,6.91
Sinabang,ID,1683487527,2.4803,96.3801,100,87,79.14,10.25
Mitla,MX,1683487527,16.9167,-96.4,5,20,86.23,6.06
Hawaiian Paradise Park,US,1683487528,19.5933,-154.9731,75,77,77.74,1.99
Khandyga,RU,1683487528,62.6667,135.6,100,98,33.01,3.24
Ordynskoye,RU,1683487528,54.3656,81.8994,1,43,61.7,3.58
Lata,PT,1683487528,40.1629,-8.3327,6,64,66.92,4.79
Buon Ma Thuot,VN,1683487529,12.6667,108.05,100,93,71.38,1.68
Egilsstadir,IS,1683487529,65.2653,-14.3948,75,76,49.91,12.66
Guaymas,MX,1683487529,27.9333,-110.9,0,32,89.89,16.11
Skeldon,GY,1683487529,5.8833,-57.1333,98,73,82.96,8.72
Tura,IN,1683487529,25.5198,90.2201,33,35,76.32,4.63
Monteagudo,BO,1683487529,-19.8167,-63.9833,100,53,76.68,5.14
Tulum,MX,1683487530,20.2167,-87.4667,11,52,89.19,9.08
Sisimiut,GL,1683487530,66.9395,-53.6735,91,88,34.11,10.29
Tocopilla,CL,1683487530,-22.092,-70.1979,19,59,72.12,7.0
Ghat,LY,1683487530,24.9647,10.1728,99,8,86.76,8.61
Markovo,RU,1683487530,57.3206,107.0881,100,95,32.31,2.95
Mexia,US,1683487531,31.6799,-96.4822,75,68,84.25,19.57
Penha,BR,1683487531,-26.7694,-48.6458,20,83,76.87,10.36
Tettnang Castle,DE,1683487531,47.6667,9.6,100,94,59.13,10.36
Oranjemund,NA,1683487531,-28.55,16.4333,0,91,56.5,8.95
Walvis Bay,NA,1683487532,-22.9575,14.5053,0,88,58.08,4.61
Macclenny,US,1683487532,30.2822,-82.1221,99,52,83.98,1.01
Afaahiti,PF,1683487532,-17.75,-149.2833,87,78,84.07,14.67
Longyearbyen,SJ,1683487296,78.2186,15.6401,75,69,31.84,9.22
Nguigmi,NE,1683487533,14.2495,13.1092,66,24,84.97,2.44
Sohar,OM,1683487533,24.3643,56.7468,0,57,83.26,3.98
Luena,AO,1683487533,-11.7833,19.9167,44,56,69.98,4.61
Ţubarjal,SA,1683487533,30.4999,38.216,1,33,73.45,20.45
Kampong Speu,KH,1683487534,11.5,104.3333,55,86,80.02,4.85
Tôlanaro,MG,1683487528,-25.0319,46.9987,20,88,73.47,16.11
Pisco,PE,1683487534,-13.7,-76.2167,0,69,75.25,8.05
Vernon,CA,1683487432,50.2581,-119.2691,100,53,61.29,5.01
Fada,NG,1683487535,9.5667,8.3,98,47,82.62,3.69
Blackmans Bay,AU,1683487535,-43.0167,147.3167,98,87,39.33,8.21
Padangsidempuan,ID,1683487535,1.3667,99.2667,100,100,71.73,3.58
Lihue,US,1683487517,21.9789,-159.3672,75,70,78.04,18.41
Tazovsky,RU,1683487535,67.4667,78.7,100,95,23.25,18.34
Constanța,RO,1683487446,44.1833,28.65,73,78,50.7,6.82
Nam Som,TH,1683487536,17.7704,102.1895,100,62,85.26,3.56
Callao,PE,1683487491,-12.0667,-77.15,0,65,77.29,11.5
Puerto Baquerizo Moreno,EC,1683487346,-0.9,-89.6,100,89,79.79,12.66
Invercargill,NZ,1683487420,-46.4,168.35,100,95,47.01,3.0
The Pas,CA,1683487536,53.8251,-101.2541,40,27,64.42,12.66
Wulingyuan,CN,1683487537,29.3494,110.5441,100,84,57.18,3.44
Deschutes River Woods,US,1683487537,43.9915,-121.3584,75,52,51.82,9.22
Kroya,ID,1683487537,-7.6331,109.2461,99,84,78.91,4.25
Ceylanpınar,TR,1683487537,36.8472,40.05,17,43,68.13,11.12
Ust'-Ordynskiy,RU,1683487537,52.805,104.7508,10,61,41.18,5.55
Bayanhongor,MN,1683487537,46.7167,100.1167,100,64,37.67,8.81
Paita,PE,1683487537,-5.0892,-81.1144,13,69,80.82,13.73
Krasnyy Yar,RU,1683487538,46.5331,48.3456,100,47,64.33,3.85
Tiksi,RU,1683487501,71.6872,128.8694,38,98,-7.24,8.97
Alice Springs,AU,1683487538,-23.7,133.8833,0,70,40.55,15.68
Novoanninskiy,RU,1683487538,50.5287,42.6747,100,51,44.56,13.27
Lycksele,SE,1683487538,64.5954,18.6735,100,27,49.87,6.91
Linqiong,CN,1683487538,30.4159,103.4609,100,92,62.42,6.89
Bakchar,RU,1683487538,57.0186,82.0711,10,46,55.83,5.59
Prado,BR,1683487471,-17.3411,-39.2208,14,75,78.82,11.21
Erenhot,CN,1683487539,43.6475,111.9767,100,23,55.53,4.52
Dusa Marreb,SO,1683487539,5.535,46.3861,16,55,84.74,15.14
Tshabong,BW,1683487539,-26.05,22.45,0,59,63.99,6.38
Minas de Marcona,PE,1683487539,-15.2119,-75.1103,27,62,68.72,15.19
Suances,ES,1683487539,43.4334,-4.0434,40,87,63.1,2.3
Yamada,JP,1683487539,39.4667,141.95,100,97,41.25,14.81
Lüderitz,NA,1683487490,-26.6481,15.1594,0,62,59.4,13.29
Pizarro,CO,1683487539,4.9533,-77.366,100,76,84.0,7.16
Agogo,GH,1683487540,6.8,-1.0819,93,71,79.03,3.94
Atafu Village,TK,1683487540,-8.5421,-172.5159,11,76,84.11,12.68
Kadom,RU,1683487540,54.5592,42.4675,0,58,34.18,4.65
Enewetak,MH,1683487540,11.3474,162.3373,85,73,81.41,18.84
Al Khārijah,EG,1683487540,25.4514,30.5464,0,25,75.4,7.63
Bracebridge,CA,1683487540,45.0334,-79.3163,100,94,58.33,0.0
